,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor,height_state,中,低,高,东北向,东南向,东向,东西向,北向,南北向,南向,西北向,西南向,西向,万家湾,光华,八宝街,内光华,内金沙,外光华,外金沙,天府广场,府南新区,杜甫草堂,浣花小区,石人小区,苏坡,草市街,西南财大,贝森,长顺街,顺城街,骡马市
3096,天邑花园,100.11,中,东向,2014,179.0,17880,2,1,15,西南财大,二环路西一段99号,17880.331635201277,7.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4679,天邑花园,100.11,高,南北向,2006,197.0,19678,2,1,15,西南财大,二环路西一段99号,19678.353810808112,11.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1104,东珠市街9号院,100.28,中,东南向,2014,135.0,13462,3,1,7,草市街,东珠市街9号,13462.305544475468,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2950,东珠市街9号院,100.28,中,东南向,2014,135.0,13462,3,1,7,草市街,东珠市街9号,13462.305544475468,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2053,78号观邸,100.48,中,西南向,2015,245.0,24382,2,2,32,天府广场,锦里西路78号,24382.96178343949,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2902,78号观邸,100.48,中,西南向,2015,245.0,24382,2,2,32,天府广场,锦里西路78号,24382.96178343949,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
720,78号观邸,100.48,中,西南向,2015,245.0,24382,2,2,32,天府广场,锦里西路78号,24382.96178343949,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2294,金沙柏林郡,100.56,高,东南向,2013,164.0,16308,3,2,26,外金沙,清波路7号(三环路西四段),16308.671439936355,19.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
485,蓝光凯丽美域,100.62,低,东南向,2010,290.0,28821,3,2,31,内金沙,蓝光凯丽美域金祥路55号,28821.307891075332,7.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,蓝光凯丽美域,100.62,中,东南向,2010,280.0,27827,3,2,31,内金沙,金祥路55号,27827.469687934805,15.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,蓝光凯丽美域,100.62,中,东南向,2010,280.0,27827,3,2,31,内金沙,金祥路55号,27827.469687934805,15.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,蓝光凯丽美域,100.62,中,东南向,2010,280.0,27827,3,2,31,内金沙,金祥路55号,27827.469687934805,15.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3787,二十一世纪花园四期,100.6,高,东向,2015,190.0,18886,3,1,6,贝森,贝双街111号,18886.679920477138,4.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3541,二十一世纪花园四期,100.6,高,东向,2015,190.0,18886,3,1,6,贝森,贝双街111号,18886.679920477138,4.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3488,二十一世纪花园四期,100.6,高,东向,2015,190.0,18886,3,1,6,贝森,贝双街111号,18886.679920477138,4.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2991,汇厦花园,100.76,中,东南向,2005,210.0,20841,3,2,11,杜甫草堂,草堂北支路56号,20841.603811036126,5.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2645,汇厦花园,100.76,中,东南向,2005,210.0,20841,3,2,11,杜甫草堂,草堂北支路56号,20841.603811036126,5.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,汇厦少城,100.7,中,西南向,2014,365.0,36246,3,1,39,天府广场,文庙西街,36246.27606752731,19.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,汇厦少城,100.7,中,西南向,2014,365.0,36246,3,1,39,天府广场,文庙西街,36246.27606752731,19.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2784,恒大广场,101.11,高,南向,2015,300.0,29670,2,1,53,天府广场,天府广场提督街99号(近中国建设银行总部)),29670.655721491443,39.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4696,二十一世纪花园二期,101.16,中,西向,2003,180.0,17793,3,1,7,贝森,苏坡东路27号,17793.59430604982,3.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
